campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52187136.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.06,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52760576.0,logs/services.log.resource-usage.txt,0.05,0.11,0.13,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51363840.0,pull-resource-usage.txt,0.07,0.14,19.31,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52781056.0,start-resource-usage.txt,0.05,0.12,8.36,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219131904.0,build-resource-usage.txt,0.16,3.25,3.2,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109625344.0,replay-resource-usage.txt,0.07,1.51,0.96,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",622018560.0,acquisition-resource-usage.txt,90.41,219.74,2071.67,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52420608.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.2,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52359168.0,logs/services.log.resource-usage.txt,0.04,0.13,0.14,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52256768.0,pull-resource-usage.txt,0.07,0.14,20.2,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52723712.0,start-resource-usage.txt,0.03,0.15,8.32,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",215363584.0,build-resource-usage.txt,0.12,2.5,2.95,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109338624.0,replay-resource-usage.txt,0.08,1.4,0.93,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",627462144.0,acquisition-resource-usage.txt,93.68,227.37,2072.01,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51490816.0,logs/compose-down.log.resource-usage.txt,0.03,0.09,11.24,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52350976.0,logs/services.log.resource-usage.txt,0.04,0.11,0.12,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51531776.0,pull-resource-usage.txt,0.08,0.17,20.11,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",53039104.0,start-resource-usage.txt,0.04,0.15,8.7,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219049984.0,build-resource-usage.txt,0.14,3.25,3.67,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109559808.0,replay-resource-usage.txt,0.07,1.46,0.93,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",630120448.0,acquisition-resource-usage.txt,96.55,234.99,2072.57,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52396032.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.06,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52379648.0,logs/services.log.resource-usage.txt,0.04,0.13,0.14,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51859456.0,pull-resource-usage.txt,0.07,0.22,21.75,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",53014528.0,start-resource-usage.txt,0.04,0.14,8.54,,,
